# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jun 18 01:13:11 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and disc_facility like '%TESS%'
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and decstr in [+37, +73])
# CONSTRAINT:  order by disc_year desc, sy_pnum asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
TOI-1422 b,TOI-1422,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=NAPONIELLO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703293N/abstract target=ref>Naponiello et al. 2022</a>,12.99720000,0.00060000,-0.00060000,0,0.108000,0.003000,-0.003000,0,3.960,0.130,-0.110,0,9.00000,2.30000,-2.00000,0,0.02832,0.00724,-0.00629,0,Mass,0.040000,0.050000,-0.030000,0,,,,,867,17,-17,0,0,<a refstr=NAPONIELLO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703293N/abstract target=ref>Naponiello et al. 2022</a>,G2 V,5840.00,62.00,-62.00,0,1.02,0.01,-0.01,0,0.98,0.06,-0.07,0,-0.090,0.070,-0.070,0,[Fe/H],4.41,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h36m57.80s,354.2408290,+39d38m21.41s,39.6392793,155.1410000,0.6630000,-0.6570000
TOI-1411 b,TOI-1411,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,1.45203580,0.00000980,-0.00000980,0,0.023000,0.002600,-0.002600,0,1.360,0.160,-0.160,0,,,,,,,,,,,,,,,,,,1136,59,-59,0,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,,4266.00,100.00,-100.00,0,0.66,0.10,-0.10,0,0.59,0.23,-0.23,0,,,,,,4.73,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h31m47.05s,232.9460470,+47d03m19.98s,47.0555507,32.4778000,0.0225000,-0.0225000
TOI-1696 b,TOI-1696,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=MORI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..298M/abstract target=ref>Mori et al. 2022</a>,2.50031100,0.00000400,-0.00000400,0,0.022900,0.000200,-0.000200,0,3.090,0.110,-0.110,0,48.80000,,,1,0.15354,,,1,Mass,,,,,,,,,489,13,-13,0,0,<a refstr=MORI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..298M/abstract target=ref>Mori et al. 2022</a>,M5V,3185.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.26,0.01,-0.01,0,0.336,0.060,-0.060,0,[Fe/H],4.96,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h21m07.36s,65.2806480,+48d49m11.39s,48.8198312,64.9172000,0.3581000,-0.3544000
TOI-2260 b,TOI-2260,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.35247280,0.00000470,-0.00000470,0,0.009700,0.000100,-0.000100,0,1.620,0.130,-0.130,0,,,,,,,,,,,,,,,,,,2609,86,-86,0,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,G V,5534.00,100.00,-100.00,0,0.94,0.05,-0.05,0,0.99,0.04,-0.04,0,0.220,0.060,-0.060,0,[Fe/H],4.62,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h30m40.08s,247.6669998,+49d02m48.44s,49.0467891,101.2510000,0.2840000,-0.2830000
TOI-3693 b,TOI-3693,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,9.08851600,0.00002600,-0.00002700,0,0.081300,0.001100,-0.001200,0,12.599,0.325,-0.258,0,324.18498,76.27882,-69.92225,0,1.02000,0.24000,-0.22000,0,Mass,0.000000,0.048000,-0.052000,0,68.60,4.70,-4.10,0,801,13,-12,0,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,,5321.00,86.00,-82.00,0,0.79,0.02,-0.01,0,0.87,0.04,-0.04,0,0.071,0.079,-0.076,0,[Fe/H],4.58,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h02m37.05s,15.6543938,+51d18m14.01s,51.3038918,176.4360000,1.2240000,-1.2080000
TOI-2048 b,TOI-2048,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=NEWTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..115N/abstract target=ref>Newton et al. 2022</a>,13.79019000,0.00065000,-0.00084000,0,,,,,2.610,0.170,-0.160,0,,,,,,,,,,0.130000,0.180000,-0.090000,0,,,,,,,,,0,<a refstr=NEWTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..115N/abstract target=ref>Newton et al. 2022</a>,G V,5185.00,60.00,-60.00,0,0.79,0.04,-0.04,0,0.83,0.03,-0.03,0,0.020,0.080,-0.080,0,[m/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h51m41.79s,237.9241066,+52d18m22.71s,52.3063083,116.5670000,0.2920000,-0.2900000
TOI-2081 b,TOI-2081,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=ESPARZA_BORGES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220610643E/abstract target=ref>Esparza-Borges et al. 2022</a>,10.50534000,0.00007000,-0.00008000,0,0.075200,0.004700,-0.011900,0,2.040,0.500,-0.540,0,,,,,,,,,,,,,,8.10,1.10,-2.60,0,488,28,-52,0,0,<a refstr=ESPARZA_BORGES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220610643E/abstract target=ref>Esparza-Borges et al. 2022</a>,M1.0,3800.00,100.00,-100.00,0,0.53,0.08,-0.08,0,0.54,0.08,-0.08,0,-0.500,,,-1,[Fe/H],4.50,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h37m12.54s,264.3022634,+53d01m32.04s,53.0255666,62.3446000,0.0833500,-0.0833500
TOI-3757 b,TOI-3757,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=KANODIA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...81K/abstract target=ref>Kanodia et al. 2022</a>,3.43875300,0.00000400,-0.00000400,0,0.038450,0.000430,-0.000430,0,12.000,0.400,-0.500,0,85.30000,8.80000,-8.70000,0,0.26838,0.02769,-0.02737,0,Mass,0.140000,0.060000,-0.060000,0,55.40,3.80,-3.80,0,759,13,-13,0,0,<a refstr=KANODIA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...81K/abstract target=ref>Kanodia et al. 2022</a>,M0 V,3913.00,56.00,-56.00,0,0.62,0.01,-0.01,0,0.64,0.02,-0.02,0,0.000,0.200,-0.200,0,[Fe/H],4.68,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h04m00.87s,91.0036423,+55d01m11.93s,55.0199793,181.1390000,1.1940000,-1.1790000
TOI-2180 b,TOI-2180,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=DALBA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...61D/abstract target=ref>Dalba et al. 2022</a>,260.79000000,0.59000000,-0.58000000,0,0.828000,0.012000,-0.012000,0,11.321,0.247,-0.213,0,875.61726,27.65107,-25.74410,0,2.75500,0.08700,-0.08100,0,Mass,0.368300,0.007300,-0.007300,0,2.71,0.13,-0.13,0,348,3,-4,0,1,<a refstr=DALBA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...61D/abstract target=ref>Dalba et al. 2022</a>,G5,5695.00,58.00,-60.00,0,1.64,0.03,-0.03,0,1.11,0.05,-0.05,0,0.253,0.057,-0.057,0,[Fe/H],4.06,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h31m46.47s,277.9436300,+56d39m02.44s,56.6506789,116.6850000,0.2670000,-0.2660000
TOI-2337 b,TOI-2337,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GRUNBLATT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..120G/abstract target=ref>Grunblatt et al. 2022</a>,2.99432000,0.00008000,-0.00008000,0,,,,,10.088,1.121,-1.121,0,508.52545,47.67426,-47.67426,0,1.60000,0.15000,-0.15000,0,Mass,0.019000,0.017000,-0.017000,0,,,,,,,,,0,<a refstr=GRUNBLATT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..120G/abstract target=ref>Grunblatt et al. 2022</a>,,4780.00,100.00,-100.00,0,3.22,0.06,-0.06,0,1.32,0.12,-0.12,0,0.390,0.060,-0.060,0,[Fe/H],3.50,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m28.77s,290.6198948,+60d51m14.05s,60.8539035,536.0460000,5.9770000,-5.8500000
TOI-1268 b,TOI-1268,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>,8.15770940,0.00000450,-0.00000450,0,0.071100,0.006300,-0.005800,0,9.100,0.600,-0.600,0,96.40000,8.20000,-8.30000,0,0.30331,0.02580,-0.02611,0,Mass,0.105000,0.040000,-0.039000,0,,,,,919,30,-31,0,0,<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>,K1-K2,5300.00,100.00,-100.00,0,0.92,0.06,-0.06,0,0.96,0.04,-0.04,0,0.360,0.060,-0.060,0,[Fe/H],4.55,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h13m33.26s,198.3885831,+62d18m19.37s,62.3053799,109.5570000,0.5450000,-0.5400000
TOI-1759 b,TOI-1759,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=ESPINOZA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..133E/abstract target=ref>Espinoza et al. 2022</a>,18.85019000,0.00013000,-0.00013000,0,0.117700,0.003800,-0.003800,0,3.140,0.100,-0.100,0,10.80000,1.50000,-1.50000,0,0.03398,0.00472,-0.00472,0,Mass,0.000000,,,0,6.39,0.41,-0.41,0,443,7,-7,0,0,<a refstr=ESPINOZA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..133E/abstract target=ref>Espinoza et al. 2022</a>,M0.0 V,4065.00,51.00,-51.00,0,0.60,0.01,-0.01,0,0.61,0.02,-0.02,0,0.050,0.160,-0.160,0,[Fe/H],4.65,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h47m24.40s,326.8516615,+62d45m13.74s,62.7538164,40.0654000,0.0423000,-0.0423000
TOI-1860 b,TOI-1860,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,1.06621070,0.00000140,-0.00000140,0,0.020400,0.000200,-0.000200,0,1.310,0.040,-0.040,0,,,,,,,,,,,,,,,,,,1885,28,-28,0,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,G V,5752.00,100.00,-100.00,0,0.94,0.02,-0.02,0,0.99,0.03,-0.03,0,0.040,0.060,-0.060,0,[Fe/H],4.58,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h05m49.62s,226.4567308,+64d02m51.66s,64.0476821,45.8640000,0.0648000,-0.0645000
TOI-1181 b,TOI-1181,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,2.10319500,0.00001200,-0.00001100,0,,,,,14.572,0.897,-0.897,0,375.03752,44.49598,-44.49598,0,1.18000,0.14000,-0.14000,0,Mass,,,,,,,,,,,,,0,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,F9 IV,5990.00,95.00,-95.00,0,1.75,0.09,-0.09,0,1.19,0.18,-0.18,0,0.050,0.100,-0.100,0,[Fe/H],3.90,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m51.80s,297.2158166,+64d21m15.66s,64.3543506,302.8190000,3.5420000,-3.4620000
TOI-2567 b,TOI-2567,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,5.98394400,0.00001300,-0.00001300,0,0.067200,0.002400,-0.001200,0,10.929,0.347,-0.325,0,63.88351,10.80617,-9.85268,0,0.20100,0.03400,-0.03100,0,Mass,0.000000,0.048000,-0.052000,0,558.00,31.00,-30.00,0,1352,18,-19,0,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,,5611.00,62.00,-65.00,0,1.69,0.04,-0.04,0,1.13,0.13,-0.06,0,0.241,0.078,-0.079,0,[Fe/H],4.04,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m51.76s,288.4656683,+66d20m52.58s,66.3479375,504.7750000,5.2190000,-5.1150000
TOI-5238 b,TOI-5238,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=MANTOVAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2311M/abstract target=ref>Mantovan et al. 2022</a>,4.87217100,,,0,,,,,5.220,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5631.00,141.47,-99.75,0,1.02,0.05,-0.05,0,1.00,0.09,-0.16,0,,,,,,4.42,0.09,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h53m26.13s,223.3588909,+68d51m34.10s,68.8594720,290.6460000,1.5470000,-1.5320000
TOI-1516 b,TOI-1516,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,2.05601400,0.00000200,-0.00000200,0,,,,,15.244,0.336,-0.336,0,1004.33777,38.13941,-38.13941,0,3.16000,0.12000,-0.12000,0,Mass,,,,,,,,,,,,,0,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,F8 V,6520.00,90.00,-90.00,0,1.14,0.02,-0.02,0,1.14,0.06,-0.06,0,-0.050,0.100,-0.100,0,[Fe/H],4.25,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h40m20.31s,340.0846204,+69d30m13.43s,69.5037313,247.0540000,1.3680000,-1.3540000
TOI-4137 b,TOI-4137,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,3.80161220,0.00000650,-0.00000650,0,0.052220,0.000890,-0.000960,0,13.574,0.448,-0.437,0,457.67291,54.03083,-47.67426,0,1.44000,0.17000,-0.15000,0,Mass,0.000000,0.048000,-0.052000,0,1013.00,68.00,-60.00,0,1570,25,-24,0,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,,6202.00,94.00,-90.00,0,1.44,0.04,-0.04,0,1.31,0.07,-0.07,0,0.182,0.083,-0.085,0,[Fe/H],4.24,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h10m27.09s,77.6128790,+70d23m27.88s,70.3910790,334.9930000,3.3130000,-3.2500000
TOI-4329 b,TOI-4329,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GRUNBLATT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..120G/abstract target=ref>Grunblatt et al. 2022</a>,2.92230000,0.00015000,-0.00015000,0,,,,,16.813,2.130,-2.130,0,143.02278,28.60456,-28.60456,0,0.45000,0.09000,-0.09000,0,Mass,0.068000,0.079000,-0.079000,0,,,,,,,,,0,<a refstr=GRUNBLATT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..120G/abstract target=ref>Grunblatt et al. 2022</a>,,6000.00,100.00,-100.00,0,2.31,0.03,-0.03,0,1.54,0.05,-0.05,0,0.290,0.060,-0.060,0,[Fe/H],3.90,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h58m15.34s,329.5639152,+71d07m53.78s,71.1316048,717.1280000,10.7220000,-10.4160000
TOI-1695 b,TOI-1695,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=CHERUBIM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221106445C/abstract target=ref>Cherubim et al. 2022</a>,3.13427910,0.00000710,-0.00000630,0,0.033548,0.000260,-0.000268,0,1.900,0.160,-0.140,0,6.36000,1.00000,-1.00000,0,0.02001,0.00315,-0.00315,0,Mass,0.097000,,,1,39.00,3.00,-3.00,0,698,14,-14,0,0,<a refstr=CHERUBIM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221106445C/abstract target=ref>Cherubim et al. 2022</a>,M1 V,3690.00,50.00,-50.00,0,0.52,0.01,-0.01,0,0.51,0.01,-0.01,0,0.000,0.500,-0.500,0,[Fe/H],4.72,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h27m41.22s,21.9217346,+72d17m47.81s,72.2966148,45.1309000,0.0680500,-0.0680500
